roll,subject,ut1,theory1,ut2,theory2,practical
1,English,20.0,40.0,20.0,60.0,19.0
2,English,20.0,42.0,19.0,62.0,20.0
3,English,18.0,37.0,19.0,60.0,19.0
4,English,17.0,35.0,18.0,52.0,20.0
5,English,20.0,40.0,19.0,59.0,19.0
6,English,16.0,33.0,17.0,52.0,19.0
7,English,20.0,40.0,19.0,60.0,20.0
8,English,19.0,38.0,20.0,58.0,19.0
9,English,21.0,43.0,21.0,62.0,20.0
10,English,16.0,32.0,17.0,54.0,19.0
11,English,20.0,40.0,18.0,60.0,20.0
12,English,21.0,42.0,20.0,62.0,18.0
13,English,18.0,36.0,19.0,54.0,19.0
14,English,16.0,32.0,17.0,48.0,20.0
15,English,18.0,37.0,19.0,54.0,17.0
16,English,20.0,40.0,20.0,60.0,18.0
17,English,19.0,37.0,20.0,57.0,19.0
18,English,18.0,36.0,19.0,54.0,20.0
19,English,20.0,41.0,20.0,60.0,18.0
20,English,20.0,40.0,20.0,60.0,19.0
21,English,18.0,36.0,19.0,54.0,20.0
22,English,17.0,32.0,18.0,51.0,17.0
23,English,19.0,39.0,20.0,54.0,18.0
24,English,16.0,33.0,17.0,57.0,19.0
25,English,15.0,31.0,16.0,60.0,20.0
26,English,16.0,34.0,17.0,54.0,18.0
27,English,17.0,35.0,18.0,57.0,19.0
28,English,16.0,33.0,17.0,57.0,19.0
29,English,20.0,41.0,19.0,60.0,20.0
30,English,0,0,0,0,0
31,English,20.0,42.0,20.0,51.0,17.0
32,English,17.0,40.0,18.0,54.0,18.0
33,English,17.0,39.0,18.0,57.0,19.0
34,English,19.0,39.0,20.0,60.0,20.0
35,English,16.0,33.0,17.0,54.0,18.0
36,English,16.0,34.0,17.0,54.0,18.0
37,English,20.0,40.0,21.0,57.0,19.0
38,English,17.0,35.0,18.0,60.0,20.0
39,English,14.0,29.0,16.0,60.0,20.0
40,English,15.0,30.0,17.0,60.0,20.0
41,English,19.0,39.0,20.0,54.0,18.0
42,English,16.0,33.0,18.0,57.0,19.0
43,English,17.0,35.0,19.0,54.0,18.0
44,English,20.0,41.0,20.0,57.0,19.0
45,English,16.0,33.0,20.0,60.0,20.0
46,English,21.0,41.0,19.0,58.0,19.0
47,English,16.0,33.0,17.0,57.0,19.0
48,English,20.0,40.0,20.0,54.0,18.0
49,English,20.0,41.0,21.0,51.0,17.0
50,English,20.0,42.0,20.0,57.0,19.0
51,English,19.0,39.0,20.0,54.0,18.0
52,English,17.0,34.0,18.0,55.0,18.0
53,English,19.0,38.0,19.0,54.0,18.0
54,English,20.0,40.0,19.0,58.0,19.0
55,English,17.0,34.0,18.0,55.0,18.0
56,English,17.0,35.0,18.0,58.0,19.0
57,English,20.0,40.0,20.0,61.0,20.0
58,English,20.0,40.0,19.0,55.0,18.0
59,English,19.0,38.0,20.0,54.0,18.0
60,English,19.0,38.0,20.0,62.0,20.0
61,English,19.0,38.0,19.0,54.0,18.0
62,English,18.0,40.0,19.0,58.0,19.0
63,English,16.0,33.0,18.0,60.0,20.0
64,English,17.0,35.0,18.0,55.0,18.0
65,English,18.0,36.0,19.0,53.0,18.0
66,English,18.0,37.0,19.0,58.0,19.0
67,English,19.0,38.0,19.0,54.0,18.0
68,English,19.0,39.0,20.0,55.0,18.0
69,English,16.0,33.0,17.0,58.0,19.0
70,English,17.0,35.0,18.0,59.0,19.0
71,English,18.0,39.0,19.0,55.0,18.0
72,English,16.0,33.0,17.0,54.0,18.0
73,English,17.0,35.0,18.0,57.0,19.0
74,English,16.0,33.0,17.0,54.0,18.0
75,English,18.0,37.0,19.0,58.0,19.0
76,English,17.0,36.0,18.0,55.0,18.0
77,English,16.0,32.0,17.0,56.0,18.0
78,English,17.0,35.0,17.0,54.0,18.0
79,English,20.0,40.0,20.0,58.0,19.0
80,English,16.0,32.0,17.0,54.0,18.0
81,English,20.0,40.0,20.0,53.0,18.0
82,English,17.0,34.0,18.0,52.0,18.0
83,English,16.0,33.0,17.0,56.0,19.0
84,English,17.0,34.0,18.0,50.0,17.0
85,English,20.0,40.0,20.0,61.0,20.0
86,English,18.0,36.0,19.0,55.0,18.0
87,English,19.0,39.0,18.0,54.0,17.0
88,English,18.0,36.0,18.0,59.0,19.0
89,English,18.0,36.0,19.0,61.0,20.0
90,English,19.0,38.0,20.0,60.0,20.0
91,English,18.0,37.0,19.0,58.0,19.0
92,English,18.0,37.0,19.0,55.0,18.0
93,English,16.0,33.0,17.0,54.0,18.0
94,English,17.0,35.0,18.0,50.0,17.0
95,English,17.0,34.0,18.0,54.0,18.0
96,English,18.0,36.0,19.0,57.0,19.0
97,English,16.0,32.0,17.0,57.0,19.0
98,English,20.0,40.0,20.0,54.0,18.0
99,English,16.0,37.0,17.0,51.0,17.0
100,English,16.0,32.0,17.0,55.0,18.0
101,English,20.0,40.0,21.0,17.0,50.0
102,English,22.0,43.0,20.0,51.0,18.0
103,English,18.0,36.0,19.0,50.0,17.0
104,English,18.0,36.0,19.0,54.0,18.0
105,English,18.0,36.0,19.0,58.0,19.0
106,English,19.0,38.0,20.0,57.0,19.0
107,English,21.0,42.0,20.0,54.0,18.0
108,English,18.0,36.0,19.0,57.0,19.0
109,English,19.0,38.0,20.0,60.0,20.0
110,English,17.0,34.0,18.0,60.0,20.0
111,English,0,0,0,0,0
112,English,20.0,40.0,21.0,54.0,18.0
113,English,17.0,35.0,18.0,57.0,19.0
114,English,17.0,35.0,18.0,60.0,20.0
115,English,18.0,36.0,19.0,60.0,19.0
116,English,16.0,32.0,17.0,61.0,20.0
117,English,21.0,41.0,20.0,54.0,18.0
118,English,20.0,42.0,20.0,51.0,17.0
119,English,20.0,42.0,20.0,51.0,17.0
120,English,19.0,38.0,20.0,55.0,18.0
1,Marathi,20.0,38.0,18.0,58.0,20.0
2,Marathi,14.0,38.0,17.0,62.0,20.0
3,Marathi,17.0,36.0,20.0,64.0,20.0
4,Marathi,12.0,27.0,14.0,60.0,20.0
5,Marathi,14.0,35.0,15.0,64.0,20.0
6,Marathi,17.0,40.0,20.0,62.0,20.0
7,Marathi,12.0,25.0,15.0,60.0,19.0
8,Marathi,14.0,30.0,17.0,62.0,20.0
9,Marathi,16.0,32.0,20.0,62.0,20.0
10,Marathi,12.0,28.0,15.0,60.0,20.0
11,Marathi,15.0,34.0,15.0,64.0,20.0
12,Marathi,17.0,32.0,20.0,60.0,20.0
13,Marathi,17.0,40.0,18.0,62.0,20.0
14,Marathi,12.0,32.0,15.0,60.0,20.0
15,Marathi,17.0,40.0,20.0,64.0,20.0
16,Marathi,14.0,34.0,17.0,58.0,20.0
17,Marathi,16.0,36.0,17.0,62.0,20.0
18,Marathi,12.0,30.0,15.0,55.0,20.0
19,Marathi,20.0,25.0,21.0,62.0,19.0
20,Marathi,16.0,38.0,18.0,60.0,20.0
21,Marathi,15.0,35.0,17.0,62.0,20.0
22,Marathi,17.0,38.0,20.0,64.0,20.0
23,Marathi,20.0,40.0,22.0,64.0,20.0
24,Marathi,20.0,38.0,22.0,74.0,20.0
25,Marathi,17.0,35.0,20.0,62.0,20.0
26,Marathi,15.0,32.0,18.0,60.0,20.0
27,Marathi,20.0,30.0,15.0,62.0,20.0
28,Marathi,20.0,28.0,17.0,70.0,19.0
29,Marathi,16.0,34.0,17.0,64.0,20.0
30,Marathi,0,0,0,0,0
31,Marathi,17.0,28.0,20.0,60.0,20.0
32,Marathi,15.0,24.0,20.0,58.0,19.0
33,Marathi,17.0,34.0,22.0,62.0,20.0
34,Marathi,17.0,32.0,20.0,64.0,20.0
35,Marathi,15.0,30.0,17.0,60.0,20.0
36,Marathi,14.0,24.0,17.0,64.0,20.0
37,Marathi,17.0,32.0,19.0,64.0,20.0
38,Marathi,14.0,30.0,17.0,60.0,20.0
39,Marathi,14.0,34.0,15.0,62.0,20.0
40,Marathi,17.0,38.0,20.0,64.0,20.0
41,Marathi,14.0,32.0,17.0,60.0,20.0
42,Marathi,17.0,34.0,20.0,62.0,20.0
43,Marathi,17.0,32.0,19.0,60.0,20.0
44,Marathi,20.0,40.0,21.0,64.0,20.0
45,Marathi,17.0,38.0,20.0,60.0,20.0
46,Marathi,20.0,40.0,21.0,64.0,20.0
47,Marathi,14.0,34.0,17.0,64.0,20.0
48,Marathi,20.0,30.0,15.0,60.0,19.0
49,Marathi,17.0,34.0,20.0,64.0,20.0
50,Marathi,15.0,32.0,17.0,68.0,20.0
51,Marathi,17.0,30.0,20.0,62.0,20.0
52,Marathi,17.0,32.0,20.0,60.0,20.0
53,Marathi,15.0,28.0,17.0,58.0,20.0
54,Marathi,17.0,32.0,20.0,62.0,20.0
55,Marathi,15.0,34.0,17.0,60.0,19.0
